onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.837
12	1	ICNS	BlueLeft	1	1.056
14.5	1	CS	RedLeft	1	0.924
17	1	ICS	BlueLeft	1	0.741
20.5	1	ICNS	BlueRight	1	0.77
24	1	CS	RedLeft	1	0.903
27.5	1	CNS	RedLeft	1	0.757
31	1	ICS	BlueRight	1	1.192
36.5	1	ICNS	BlueLeft	1	0.61
41	1	CS	RedRight	1	1.099
44.5	1	CNS	RedRight	1	0.555
50	1	ICS	BlueRight	1	0.539
52.5	1	CS	RedLeft	1	1.297
56	1	CNS	RedLeft	1	0.778
58.5	1	CNS	RedRight	1	0.874
62	1	ICS	BlueRight	1	0.783
67.5	1	CS	RedRight	1	0.719
71	1	CNS	RedLeft	1	0.629
75.5	1	ICS	BlueRight	1	0.6
78	1	ICNS	BlueLeft	1	0.737
80.5	1	ICNS	BlueRight	1	1.479
83	1	CS	RedRight	1	0.786
86.5	1	CNS	RedLeft	1	1.109
91	1	ICS	BlueLeft	1	0.603
96.5	1	CS	RedLeft	1	0.635
99	1	CNS	RedLeft	1	0.763
104.5	1	CNS	RedRight	1	0.683
110	1	ICS	BlueRight	1	0.731
114.5	1	ICNS	BlueRight	1	1.066
117	1	ICNS	BlueLeft	1	0.974
119.5	1	CS	RedRight	1	0.783
125	1	CNS	RedLeft	1	0.975
130.5	1	ICS	BlueRight	1	0.695
134	1	ICNS	BlueRight	1	0.668
137.5	1	CS	RedLeft	1	0.921
140	1	CNS	RedRight	1	1.152
145.5	1	ICS	BlueLeft	1	1.711
150	1	ICNS	BlueLeft	1	0.693
152.5	1	ICNS	BlueLeft	1	1.683
157	1	CS	RedLeft	1	0.729
159.5	1	CNS	RedLeft	1	0.497
164	1	ICS	BlueLeft	1	0.636
168.5	1	ICNS	BlueLeft	1	0.576
173	1	ICNS	BlueRight	1	1.127
176.5	1	CS	RedLeft	1	0.808
180	1	CNS	RedLeft	1	1.042
182.5	1	ICS	BlueLeft	1	0.837
187	1	ICNS	BlueRight	1	0.553
189.5	1	CS	RedRight	1	1.07
195	1	ICS	BlueLeft	1	0.729
197.5	1	ICNS	BlueRight	1	0.762
200	1	CS	RedRight	1	1.759
204.5	1	CNS	RedRight	1	0.813
210	1	ICS	BlueRight	1	0.693
213.5	1	CS	RedLeft	0	1.152
219	1	CNS	RedRight	1	0.61
223.5	1	ICS	BlueLeft	1	1.17
229	1	ICNS	BlueLeft	1	0.909
233.5	1	ICNS	BlueLeft	1	0.544
238	1	CS	RedLeft	1	1.04
242.5	1	CNS	RedRight	0	0.71
245	1	ICS	BlueLeft	1	0.822
250.5	1	ICNS	BlueRight	1	0.798
256	1	CS	RedRight	0	0
258.5	1	CNS	RedLeft	1	0.894
262	1	CNS	RedRight	1	0.748
267.5	1	ICS	BlueRight	1	0.836
272	1	ICNS	BlueRight	1	0.758
275.5	1	CS	RedRight	1	1.266
280	1	CNS	RedLeft	1	0.655
284.5	1	ICS	BlueLeft	1	0.978
287	1	CS	RedRight	0	1.04
292.5	1	CNS	RedRight	1	0.818
298	1	ICS	BlueRight	1	1.143
303.5	1	ICNS	BlueLeft	1	0.994
307	1	ICNS	BlueRight	1	0.6
311.5	1	CS	RedLeft	1	0.803
317	1	CNS	RedRight	1	0.627
320.5	1	ICS	BlueLeft	1	1.11
324	1	CS	RedRight	0	0
