onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueRight	1	0.295
14	1	CNS	BlueLeft	1	0.351
18.5	1	ICS	RedLeft	1	0.45
23	1	CS	BlueLeft	1	0.428
27.5	1	CNS	BlueRight	1	0.382
33	1	ICS	RedLeft	1	0.438
38.5	1	ICNS	RedLeft	1	0.47
41	1	CS	BlueRight	1	0.375
43.5	1	CNS	BlueLeft	1	0.551
48	1	ICS	RedRight	1	0.434
52.5	1	ICNS	RedRight	1	0.429
56	1	CS	BlueRight	1	0.338
58.5	1	ICS	RedLeft	1	0.427
61	1	ICNS	RedLeft	1	0.412
66.5	1	ICNS	RedRight	1	0.412
70	1	CS	BlueRight	1	0.369
73.5	1	ICS	RedRight	1	0.43
77	1	ICNS	RedLeft	1	0.403
80.5	1	CS	BlueRight	1	0.409
84	1	CNS	BlueLeft	1	0.439
89.5	1	CNS	BlueRight	1	0.375
95	1	ICS	RedRight	1	0.551
98.5	1	ICNS	RedLeft	1	0.436
104	1	CS	BlueLeft	1	0.316
106.5	1	ICS	RedLeft	1	0.453
110	1	ICNS	RedLeft	1	0.418
112.5	1	ICNS	RedRight	1	0.419
116	1	CS	BlueRight	1	0.441
118.5	1	CNS	BlueRight	1	0.337
123	1	CNS	BlueLeft	1	0.347
128.5	1	ICS	RedRight	1	0.403
134	1	ICNS	RedLeft	1	0.402
136.5	1	CS	BlueRight	1	0.411
141	1	CNS	BlueRight	1	0.326
146.5	1	ICS	RedLeft	1	0.438
151	1	ICNS	RedRight	1	0.456
155.5	1	CS	BlueLeft	1	0.371
158	1	CNS	BlueLeft	1	0.388
160.5	1	CNS	BlueLeft	1	0.34
165	1	ICS	RedLeft	1	0.439
168.5	1	ICNS	RedLeft	1	0.436
172	1	CS	BlueLeft	1	0.369
174.5	1	CNS	BlueLeft	1	0.354
179	1	CNS	BlueRight	1	0.293
183.5	1	ICS	RedLeft	1	0.424
188	1	ICNS	RedLeft	1	0.506
190.5	1	CS	BlueLeft	1	0.331
195	1	CNS	BlueRight	1	0.334
200.5	1	ICS	RedRight	1	0.413
203	1	CS	BlueLeft	1	0.334
206.5	1	CNS	BlueRight	1	0.308
210	1	ICS	RedRight	1	0.417
214.5	1	ICNS	RedRight	1	0.356
218	1	CS	BlueRight	1	0.337
223.5	1	ICS	RedLeft	1	0.441
227	1	ICNS	RedRight	1	0.446
232.5	1	CS	BlueLeft	1	0.678
237	1	CNS	BlueLeft	1	0.385
240.5	1	CNS	BlueLeft	1	0.359
244	1	ICS	RedLeft	1	0.493
249.5	1	ICNS	RedRight	1	0.468
253	1	CS	BlueLeft	1	0.33
257.5	1	CNS	BlueRight	1	0.364
263	1	ICS	RedRight	1	0.421
265.5	1	ICNS	RedLeft	1	0.461
270	1	ICNS	RedRight	1	0.447
273.5	1	CS	BlueRight	1	0.404
279	1	CNS	BlueRight	1	0.356
283.5	1	ICS	RedRight	1	0.367
289	1	ICNS	RedLeft	1	0.455
294.5	1	CS	BlueLeft	1	0.383
297	1	ICS	RedRight	1	0.367
299.5	1	ICNS	RedRight	1	0.368
302	1	CS	BlueRight	1	0.328
304.5	1	CNS	BlueLeft	1	0.305
310	1	CNS	BlueRight	1	0.321
313.5	1	ICS	RedLeft	1	0.406
316	1	ICNS	RedRight	1	0.455
320.5	1	CS	BlueLeft	1	0.337
326	1	ICS	RedRight	1	0.361
