onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	CS	BlueRight	1	0.694
14	1	CNS	BlueLeft	1	0.542
18.5	1	ICS	RedLeft	1	0.753
23	1	CS	BlueLeft	1	0.556
27.5	1	CNS	BlueRight	1	0.487
33	1	ICS	RedLeft	1	0.591
38.5	1	ICNS	RedLeft	1	0.631
41	1	CS	BlueRight	1	0.823
43.5	1	CNS	BlueLeft	1	0.488
48	1	ICS	RedRight	1	0.811
52.5	1	ICNS	RedRight	1	0.67
56	1	CS	BlueRight	1	0.603
58.5	1	ICS	RedLeft	1	0.66
61	1	ICNS	RedLeft	1	0.613
66.5	1	ICNS	RedRight	1	0.853
70	1	CS	BlueRight	1	0.643
73.5	1	ICS	RedRight	1	0.807
77	1	ICNS	RedLeft	1	0.661
80.5	1	CS	BlueRight	1	0.715
84	1	CNS	BlueLeft	1	0.984
89.5	1	CNS	BlueRight	1	0.52
95	1	ICS	RedRight	1	0.649
98.5	1	ICNS	RedLeft	1	0.726
104	1	CS	BlueLeft	1	0.598
106.5	1	ICS	RedLeft	1	0.743
110	1	ICNS	RedLeft	1	0.661
112.5	1	ICNS	RedRight	1	0.973
116	1	CS	BlueRight	1	0.523
118.5	1	CNS	BlueRight	1	0.708
123	1	CNS	BlueLeft	1	0.599
128.5	1	ICS	RedRight	1	0.694
134	1	ICNS	RedLeft	1	0.502
136.5	1	CS	BlueRight	1	0.719
141	1	CNS	BlueRight	1	0.658
146.5	1	ICS	RedLeft	1	0.609
151	1	ICNS	RedRight	1	0.66
155.5	1	CS	BlueLeft	1	0.614
158	1	CNS	BlueLeft	1	0.471
160.5	1	CNS	BlueLeft	1	0.648
165	1	ICS	RedLeft	1	0.658
168.5	1	ICNS	RedLeft	1	0.752
172	1	CS	BlueLeft	1	0.638
174.5	1	CNS	BlueLeft	1	0.471
179	1	CNS	BlueRight	1	0.674
183.5	1	ICS	RedLeft	1	0.693
188	1	ICNS	RedLeft	1	0.623
190.5	1	CS	BlueLeft	1	0.92
195	1	CNS	BlueRight	1	0.603
200.5	1	ICS	RedRight	1	0.651
203	1	CS	BlueLeft	1	0.659
206.5	1	CNS	BlueRight	1	0.625
210	1	ICS	RedRight	1	0.726
214.5	1	ICNS	RedRight	1	0.617
218	1	CS	BlueRight	1	0.607
223.5	1	ICS	RedLeft	1	0.671
227	1	ICNS	RedRight	1	0.693
232.5	1	CS	BlueLeft	1	0.636
237	1	CNS	BlueLeft	1	0.567
240.5	1	CNS	BlueLeft	1	0.509
244	1	ICS	RedLeft	1	0.651
249.5	1	ICNS	RedRight	1	0.795
253	1	CS	BlueLeft	1	0.673
257.5	1	CNS	BlueRight	1	0.683
263	1	ICS	RedRight	1	0.739
265.5	1	ICNS	RedLeft	1	0.764
270	1	ICNS	RedRight	1	0.695
273.5	1	CS	BlueRight	1	0.581
279	1	CNS	BlueRight	1	0.508
283.5	1	ICS	RedRight	1	1.092
289	1	ICNS	RedLeft	1	0.606
294.5	1	CS	BlueLeft	1	0.558
297	1	ICS	RedRight	1	0.727
299.5	1	ICNS	RedRight	1	0.584
302	1	CS	BlueRight	1	0.672
304.5	1	CNS	BlueLeft	1	0.825
310	1	CNS	BlueRight	1	0.641
313.5	1	ICS	RedLeft	1	0.574
316	1	ICNS	RedRight	1	0.976
320.5	1	CS	BlueLeft	1	0.946
326	1	ICS	RedRight	1	0.834
