onset	duration	trial_type	stimulus
8.5	1	L2S	desk
12	1	L2NS	bed
14.5	1	L2NS	train
17	1	L1S	bird
20.5	1	L1NS	window
24	1	L2S	flower
27.5	1	L1S	door
31	1	L1NS	monkey
36.5	1	L1NS	cloud
41	1	L2S	dog
44.5	1	L2NS	duck
50	1	L1S	clock
52.5	1	L1NS	ruler
56	1	L1NS	shoe
58.5	1	L2S	mountain
62	1	L1S	foot
67.5	1	L2S	cat
71	1	L2NS	pig
75.5	1	L1S	fish
78	1	L1NS	tiger
80.5	1	L2S	sun
83	1	L1S	snake
86.5	1	L1NS	flag
91	1	L2S	nose
96.5	1	L2NS	leaf
99	1	L1S	apple
104.5	1	L1NS	leg
110	1	L2S	chair
114.5	1	L2NS	ear
117	1	L2NS	book
119.5	1	L1S	eye
125	1	L2S	car
130.5	1	L2NS	gun
134	1	L1S	umbrella
137.5	1	L1NS	hand
140	1	L1NS	watch
145.5	1	L2S	horse
150	1	L2NS	rabbit
152.5	1	L2NS	pen
157	1	L1S	tree
159.5	1	L1NS	snake
164	1	L2S	duck
168.5	1	L1S	flag
173	1	L2S	leaf
176.5	1	L2NS	cat
180	1	L2NS	chair
182.5	1	L1S	shoe
187	1	L1NS	umbrella
189.5	1	L2S	train
195	1	L2NS	sun
197.5	1	L1S	watch
200	1	L2S	gun
204.5	1	L2NS	flower
210	1	L2NS	dog
213.5	1	L1S	cloud
219	1	L1NS	tree
223.5	1	L2S	bed
229	1	L2NS	car
233.5	1	L1S	leg
238	1	L1NS	door
242.5	1	L2S	pen
245	1	L2NS	desk
250.5	1	L1S	hand
256	1	L1NS	bird
258.5	1	L2S	ear
262	1	L1S	monkey
267.5	1	L1NS	foot
272	1	L1NS	fish
275.5	1	L2S	book
280	1	L2NS	nose
284.5	1	L1S	tiger
287	1	L1NS	clock
292.5	1	L2S	rabbit
298	1	L2NS	horse
303.5	1	L2NS	mountain
307	1	L1S	ruler
311.5	1	L1NS	apple
317	1	L1NS	eye
320.5	1	L2S	pig
324	1	L1S	window
