onset	duration	trial_type	stimulus
8.5	1	L2S	cloud
14	1	L2NS	door
18.5	1	L1S	train
23	1	L2S	tiger
27.5	1	L2NS	bird
33	1	L1S	gun
38.5	1	L1NS	desk
41	1	L2S	watch
43.5	1	L2NS	snake
48	1	L1S	leaf
52.5	1	L1NS	cat
56	1	L2S	shoe
58.5	1	L1S	rabbit
61	1	L1NS	dog
66.5	1	L1NS	mountain
70	1	L2S	leg
73.5	1	L1S	pen
77	1	L1NS	chair
80.5	1	L2S	hand
84	1	L2NS	clock
89.5	1	L2NS	umbrella
95	1	L1S	duck
98.5	1	L1NS	nose
104	1	L2S	ruler
106.5	1	L1S	pig
110	1	L1NS	sun
112.5	1	L1NS	horse
116	1	L2S	window
118.5	1	L2NS	apple
123	1	L2NS	eye
128.5	1	L1S	ear
134	1	L1NS	flower
136.5	1	L2S	monkey
141	1	L2NS	fish
146.5	1	L1S	bed
151	1	L1NS	car
155.5	1	L2S	flag
158	1	L2NS	tree
160.5	1	L2NS	foot
165	1	L1S	book
168.5	1	L1NS	leaf
172	1	L2S	snake
174.5	1	L2NS	tiger
179	1	L2NS	watch
183.5	1	L1S	nose
188	1	L1NS	pig
190.5	1	L2S	door
195	1	L2NS	leg
200.5	1	L1S	mountain
203	1	L2S	fish
206.5	1	L2NS	hand
210	1	L1S	flower
214.5	1	L1NS	book
218	1	L2S	eye
223.5	1	L1S	horse
227	1	L1NS	train
232.5	1	L2S	clock
237	1	L2NS	ruler
240.5	1	L2NS	monkey
244	1	L1S	car
249.5	1	L1NS	pen
253	1	L2S	tree
257.5	1	L2NS	window
263	1	L1S	desk
265.5	1	L1NS	gun
270	1	L1NS	rabbit
273.5	1	L2S	apple
279	1	L2NS	flag
283.5	1	L1S	sun
289	1	L1NS	ear
294.5	1	L2S	umbrella
297	1	L1S	dog
299.5	1	L1NS	duck
302	1	L2S	bird
304.5	1	L2NS	cloud
310	1	L2NS	shoe
313.5	1	L1S	chair
316	1	L1NS	bed
320.5	1	L2S	foot
326	1	L1S	cat
